,location,recordingDate,method,taskLength,organization,taskComments
35,1295-NE, 2023-05-24 05:51:00,None,60,ABMI,
36,1048-NW, 2023-05-24 05:51:00,None,60,ABMI,
37,1237-SE, 2023-05-24 05:51:00,None,60,ABMI,
38,1266-SW, 2023-05-24 05:51:00,None,60,ABMI,
39,1239-NW, 2023-05-24 05:51:00,None,60,ABMI,
40,1268-SW, 2023-05-24 05:51:00,None,60,ABMI,
41,1015-NW, 2023-05-24 05:51:00,None,60,ABMI,
42,1239-SW, 2023-05-24 05:51:00,None,60,ABMI,
43,1014-SW, 2023-05-24 05:51:00,None,60,ABMI,
44,1266-NE, 2023-05-24 05:51:00,None,60,ABMI,
45,1268-NE, 2023-05-24 05:51:00,None,60,ABMI,
46,1324-SW, 2023-05-24 05:51:00,None,60,ABMI,
47,1014-NW, 2023-05-24 05:51:00,None,60,ABMI,
48,1266-SE, 2023-05-24 05:51:00,None,60,ABMI,
49,1324-SE, 2023-05-24 05:51:00,None,60,ABMI,
50,1295-SE, 2023-05-24 05:51:00,None,60,ABMI,
51,1237-NW, 2023-05-24 05:51:00,None,60,ABMI,
52,1294-SW, 2023-05-24 05:51:00,None,60,ABMI,
53,1267-SE, 2023-05-24 05:51:00,None,60,ABMI,
54,1237-SW, 2023-05-24 05:51:00,None,60,ABMI,
55,1295-NW, 2023-05-24 05:51:00,None,60,ABMI,
56,1239-NE, 2023-05-24 05:51:00,None,60,ABMI,
57,1295-SW, 2023-05-24 05:51:00,None,60,ABMI,
58,1296-NW, 2023-05-15 06:05:00,None,60,ABMI,
59,1239-SW, 2023-05-15 06:05:00,None,60,ABMI,
60,1014-SW, 2023-05-15 06:05:00,None,60,ABMI,
61,1324-NW, 2023-05-15 06:05:00,None,60,ABMI,
62,1266-NW, 2023-05-15 06:05:00,None,60,ABMI,
63,1266-NE, 2023-05-15 06:05:00,None,60,ABMI,
64,1239-SE, 2023-05-15 06:05:00,None,60,ABMI,
65,1296-NE, 2023-05-15 06:05:00,None,60,ABMI,
66,1014-SE, 2023-05-15 06:05:00,None,60,ABMI,
67,1294-SW, 2023-05-15 06:05:00,None,60,ABMI,
68,1324-NE, 2023-05-15 06:05:00,None,60,ABMI,
69,1268-NW, 2023-05-15 06:05:00,None,60,ABMI,
70,1048-NE, 2023-05-15 06:05:00,None,60,ABMI,
71,1295-NE, 2023-05-15 06:05:00,None,60,ABMI,
72,1294-NW, 2023-05-15 06:05:00,None,60,ABMI,
73,1268-SE, 2023-05-15 06:05:00,None,60,ABMI,
74,1267-NE, 2023-05-15 06:05:00,None,60,ABMI,
75,1294-SE, 2023-05-15 06:05:00,None,60,ABMI,
76,1015-NW, 2023-05-15 06:05:00,None,60,ABMI,
77,1014-NE, 2023-05-15 06:05:00,None,60,ABMI,
78,1295-SW, 2023-05-15 06:05:00,None,60,ABMI,
79,1237-SW, 2023-05-15 06:05:00,None,60,ABMI,
80,1295-NW, 2023-05-15 06:05:00,None,60,ABMI,
81,1049-SW, 2023-05-15 06:05:00,None,60,ABMI,
82,1015-NE, 2023-05-15 06:05:00,None,60,ABMI,
83,1267-SW, 2023-05-15 06:05:00,None,60,ABMI,
84,1266-SW, 2023-05-15 06:05:00,None,60,ABMI,
85,1296-SW, 2023-05-15 06:05:00,None,60,ABMI,
86,1014-NW, 2023-05-15 06:05:00,None,60,ABMI,
87,1266-SE, 2023-05-15 06:05:00,None,60,ABMI,
88,1268-SW, 2023-05-15 06:05:00,None,60,ABMI,
89,1237-SE, 2023-05-15 06:05:00,None,60,ABMI,
90,1015-SE, 2023-05-15 06:05:00,None,60,ABMI,
91,1267-NW, 2023-05-15 06:05:00,None,60,ABMI,
92,1239-NW, 2023-05-15 06:05:00,None,60,ABMI,
93,1324-SW, 2023-05-15 06:05:00,None,60,ABMI,
94,1048-SE, 2023-05-15 06:05:00,None,60,ABMI,
95,1296-SE, 2023-05-15 06:05:00,None,60,ABMI,
96,1295-SE, 2023-05-15 06:05:00,None,60,ABMI,
97,1049-NW, 2023-05-15 06:05:00,None,60,ABMI,
98,1015-SW, 2023-05-15 06:05:00,None,60,ABMI,
99,1294-NE, 2023-05-15 06:05:00,None,60,ABMI,
100,1049-SE, 2023-05-15 06:05:00,None,60,ABMI,
101,1239-NE, 2023-05-15 06:05:00,None,60,ABMI,
102,1049-NE, 2023-05-15 06:05:00,None,60,ABMI,
103,1324-SE, 2023-05-15 06:05:00,None,60,ABMI,
104,1237-NW, 2023-05-15 06:05:00,None,60,ABMI,
105,1049-NW, 2023-05-21 05:55:00,None,60,ABMI,
106,1294-NW, 2023-05-21 05:55:00,None,60,ABMI,
107,1049-NE, 2023-05-21 05:55:00,None,60,ABMI,
108,1294-NE, 2023-05-21 05:55:00,None,60,ABMI,
109,1267-NE, 2023-05-21 05:55:00,None,60,ABMI,
110,1015-SE, 2023-05-21 05:55:00,None,60,ABMI,
111,1296-NW, 2023-05-21 05:55:00,None,60,ABMI,
112,1324-NW, 2023-05-21 05:55:00,None,60,ABMI,
113,1014-SW, 2023-05-21 05:55:00,None,60,ABMI,
114,1239-SW, 2023-05-21 05:55:00,None,60,ABMI,
115,1014-SE, 2023-05-21 05:55:00,None,60,ABMI,
116,1266-NW, 2023-05-21 05:55:00,None,60,ABMI,
117,1324-NE, 2023-05-21 05:55:00,None,60,ABMI,
118,1239-SE, 2023-05-21 05:55:00,None,60,ABMI,
119,1266-NE, 2023-05-21 05:55:00,None,60,ABMI,
120,1237-SW, 2023-05-21 05:55:00,None,60,ABMI,
121,1296-NE, 2023-05-21 05:55:00,None,60,ABMI,
122,1295-NE, 2023-05-21 05:55:00,None,60,ABMI,
123,1268-NW, 2023-05-21 05:55:00,None,60,ABMI,
124,1048-NE, 2023-05-21 05:55:00,None,60,ABMI,
125,1295-NW, 2023-05-21 05:55:00,None,60,ABMI,
126,1237-SE, 2023-05-21 05:55:00,None,60,ABMI,
127,1324-SW, 2023-05-21 05:55:00,None,60,ABMI,
128,1268-NE, 2023-05-21 05:55:00,None,60,ABMI,
129,1296-SW, 2023-05-21 05:55:00,None,60,ABMI,
130,1048-NW, 2023-05-21 05:55:00,None,60,ABMI,
131,1239-NW, 2023-05-21 05:55:00,None,60,ABMI,
132,1266-SW, 2023-05-21 05:55:00,None,60,ABMI,
133,1014-NW, 2023-05-21 05:55:00,None,60,ABMI,
134,1296-SE, 2023-05-21 05:55:00,None,60,ABMI,
135,1324-SE, 2023-05-21 05:55:00,None,60,ABMI,
136,1014-NE, 2023-05-21 05:55:00,None,60,ABMI,
137,1239-NE, 2023-05-21 05:55:00,None,60,ABMI,
138,1237-NW, 2023-05-21 05:55:00,None,60,ABMI,
139,1266-SE, 2023-05-21 05:55:00,None,60,ABMI,
140,1295-SE, 2023-05-21 05:55:00,None,60,ABMI,
141,1048-SE, 2023-05-21 05:55:00,None,60,ABMI,
142,1268-SW, 2023-05-21 05:55:00,None,60,ABMI,
143,1295-SW, 2023-05-21 05:55:00,None,60,ABMI,
144,1268-SE, 2023-05-21 05:55:00,None,60,ABMI,
145,1049-SE, 2023-05-21 05:55:00,None,60,ABMI,
146,1294-SW, 2023-05-21 05:55:00,None,60,ABMI,
147,1294-SE, 2023-05-21 05:55:00,None,60,ABMI,
148,1015-NE, 2023-05-21 05:55:00,None,60,ABMI,
149,1015-NW, 2023-05-21 05:55:00,None,60,ABMI,
150,1267-SW, 2023-05-21 05:55:00,None,60,ABMI,
